category_account,account, debit ,credit,indicator,,,,,,,,,,,,,,,,,,,,
COGS,Purchases of Items," 225,928.00 ",0,none_cash,,,,,,,,,,,,,,,,,,,,
COGS,Raw Materials COGS," 22,692.00 ",0,none_cash,,,,,,,,,,,,,,,,,,,,
Current Asset,cash," 369,951.84 ",,none_cash,account,category_account,total_debit,total_credit,,,,,,,Assets,Amount,Assets,Amount,,Ordinary Income/Expense,Amount,Ordinary Income/Expense,Amount,
Current Liability,Accounts Payable, -   ,248620,none_cash,0,Accounts Payable,Current Liability,0,131130,117490,248620,131130,0,,Currents Assets,,Currents Assets,,,Income,,Income,,
Expense,Depreciation Expense," 2,025,136.42 ",0,none_cash,1,Accretion Expense,Other Expense,2016,0,2016,,2016,0,,cash,"670,417.00",cash,"341,695.99","328,721.01",Sales Revenue,"34,834,647.97",Sales Revenue,"34,834,647.97",0.00
Fixed Asset,Accumulated Depreciation, -   ,2025136.42,none_cash,2,Accumulated Depreciation,Fixed Asset,0,2025136.42,0,2025136.42,2025136.42,0,,Total Current Assets,"670,417.00",Total Current Assets,"341,695.99",,Service Revenue,"36,745,393.46",Service Revenue,"36,847,588.73","-102,195.27"
Fixed Asset,Property Plant and Equipment, -   ,2016,none_cash,3,Advertising,Expense,1521243.07,0,1521243.07,,1521243.07,0,,,,,,,Total Income,"71,580,041.43",Total Income,"71,682,236.70","-102,195.27"
Other Expense,Accretion Expense," 2,016.00 ",0,none_cash,4,Buildings,Fixed Asset,5112662.39,0,5112662.39,,5112662.39,0,,Fixed Assets,,Fixed Assets,,,,,,,0.00
Current Liability,Accounts Payable," 117,490.00 ",0,cash,5,Business Comunication,Expense,106474.44,0,106474.44,,106474.44,0,,Accumulated Depreciation,"-2,039,071.94",Accumulated Depreciation,"-13,935.52","-2,025,136.42",COGS,,COGS,,0.00
Equity,Dividends Paid," 1,201,804.97 ",0,cash,6,Depreciation Expense,Expense,2025136.42,0,2025136.42,,2025136.42,0,,Buildings,"5,112,662.39",,,"5,112,662.39",Purchases of Items,"225,928.00",Purchases of Items,"228,690.00","-2,762.00"
Expense,Advertising," 1,521,243.07 ",0,cash,7,Dividends Paid,Equity,1201804.97,0,1201804.97,,1201804.97,0,,Property Plant and Equipment,"1,850,636.24",Property Plant and Equipment,"799,888.00","1,050,748.24",Raw Materials COGS,"22,692.00",Raw Materials COGS,"22,968.00",-276.00
Expense,Business Comunication," 106,474.44 ",0,cash,8,Dues and Subscriptions,Expense,537165.76,0,537165.76,,537165.76,0,,Vehicles,"4,139,842.93",Vehicles,"36,131.26","4,103,711.67",Total COGS,"248,620.00",Total COGS,"251,658.00","-3,038.00"
Expense,Dues and Subscriptions," 537,165.76 ",0,cash,9,Freight Expense and Shipping,Expense,265029.82,0,265029.82,,265029.82,0,,Total Fixed Assets,"9,064,069.62",Total Fixed Assets,"822,083.74","8,241,985.88",,,,,0.00
Expense,Freight Expense and Shipping," 265,029.82 ",0,cash,10,Fuel Expenses,Expense,282605.09,0,282605.09,,282605.09,0,,,,,,0.00,Gross Profit,"71,331,421.43",Gross Profit,"71,430,578.70","-99,157.27"
Expense,Fuel Expenses," 282,605.09 ",0,cash,11,Insurance Expenses,Expense,758870.99,0,758870.99,,758870.99,0,,Total Assets,"9,734,486.62",Total Assets,"1,163,779.73","8,570,706.89",,,,,0.00
Expense,Insurance Expenses," 758,870.99 ",0,cash,12,Interest Expense,Expense,72494.64,0,72494.64,,72494.64,0,,,,,,,Expenses,,Expenses,,0.00
Expense,Interest Expense," 72,494.64 ",0,cash,13,Janitorial Expense,Expense,108000,0,108000,,108000,0,,Liabilities and Equity,Amount,Liabilities and Equity,Amount,,Advertising,"1,521,243.07",Advertising,"1,521,243.07",0.00
Expense,Janitorial Expense," 108,000.00 ",0,cash,14,Maintenance Expenses,Expense,3447095.27,0,3447095.27,,3447095.27,0,,,,,,,Business Comunication,"106,474.44",Business Comunication,"106,474.44",0.00
Expense,Maintenance Expenses," 3,447,095.27 ",0,cash,15,Material Expenses,Expense,11098081.82,0,11098081.82,,11098081.82,0,,Current Liability,,Current Liability,,,Depreciation Expense,"2,025,136.42",Depreciation Expense,"2,039,071.94","-13,935.52"
Expense,Material Expenses," 11,098,081.82 ",0,cash,16,Notes Payable,Long-Term Liability,179457.26,0,179457.26,,179457.26,0,,Accounts Payable,"132,858.00",Accounts Payable,"1,728.00",,Dues and Subscriptions,"537,165.76",Dues and Subscriptions,"537,165.76",0.00
Expense,Office Supplies," 94,546.41 ",0,cash,17,Office Supplies,Expense,94546.41,0,94546.41,,94546.41,0,,Total Current Liability,"132,858.00",Total Current Liability,"1,728.00",,Freight Expense and Shipping,"265,029.82",Freight Expense and Shipping,"265,029.82",0.00
