date,account,payee,debit,credit,index,project,category_account,source_account,source_category
2021-01-05,Purchases of Items,Earth Supplies,1918.0,0.0,248911,NaN,COGS,Accounts Payable,Current Liability
2021-02-05,Purchases of Items,Earth Supplies,2276.0,0.0,248921,NaN,COGS,Accounts Payable,Current Liability
2021-03-05,Purchases of Items,Earth Supplies,2634.0,0.0,248931,NaN,COGS,Accounts Payable,Current Liability
2021-01-05,Raw Materials COGS,Earth Supplies,192.0,0.0,248201,NaN,COGS,Accounts Payable,Current Liability
2021-02-05,Raw Materials COGS,Earth Supplies,228.0,0.0,248211,NaN,COGS,Accounts Payable,Current Liability
2021-03-05,Raw Materials COGS,Earth Supplies,264.0,0.0,248221,NaN,COGS,Accounts Payable,Current Liability
2021-04-05,Raw Materials COGS,Earth Supplies,300.0,0.0,248231,NaN,COGS,Accounts Payable,Current Liability
2021-05-05,Raw Materials COGS,Earth Supplies,336.0,0.0,248241,NaN,COGS,Accounts Payable,Current Liability
2021-06-05,Raw Materials COGS,Earth Supplies,372.0,0.0,248251,NaN,COGS,Accounts Payable,Current Liability
2021-07-05,Raw Materials COGS,Earth Supplies,408.0,0.0,248261,NaN,COGS,Accounts Payable,Current Liability
2021-08-05,Raw Materials COGS,Earth Supplies,444.0,0.0,248271,NaN,COGS,Accounts Payable,Current Liability
2021-09-05,Raw Materials COGS,Earth Supplies,480.0,0.0,248281,NaN,COGS,Accounts Payable,Current Liability
2021-10-05,Raw Materials COGS,Earth Supplies,516.0,0.0,248291,NaN,COGS,Accounts Payable,Current Liability
2021-11-05,Raw Materials COGS,Earth Supplies,552.0,0.0,248301,NaN,COGS,Accounts Payable,Current Liability
2023-06-15,cash,City Capital,0.0,6450.0,249532,NaN,Current Asset,Accounts Payable,Current Liability
2023-07-15,cash,City Capital,0.0,6640.0,249542,NaN,Current Asset,Accounts Payable,Current Liability
2021-12-15,cash,City Capital,0.0,520.0,249552,NaN,Current Asset,Interest Expense,Expense
2022-04-15,cash,City Capital,0.0,640.0,249562,NaN,Current Asset,Interest Expense,Expense
2022-08-15,cash,City Capital,0.0,760.0,249572,NaN,Current Asset,Interest Expense,Expense
2022-12-15,cash,City Capital,0.0,880.0,249582,NaN,Current Asset,Interest Expense,Expense
2023-04-15,cash,City Capital,0.0,1000.0,249592,NaN,Current Asset,Interest Expense,Expense
2023-03-04,cash,Herbert Supplies ,0.0,11307.88,245862,"Johnson, Olsen and Dodson",Current Asset,Material Expenses,Expense
2023-03-06,cash,Eddie Armstrong Supplies,0.0,4671.36,245872,Townsend LLC,Current Asset,Material Expenses,Expense
2023-03-06,cash,Paul Martin Specialties,0.0,13774.87,245882,"Boyd, Pratt and Livingston",Current Asset,Material Expenses,Expense
2023-03-09,cash,ABCZ Materials,0.0,10161.92,245892,Cohen-Hernandez,Current Asset,Material Expenses,Expense
2023-03-12,cash,Herbert Supplies ,0.0,8075.05,245902,"Collins, Sherman and Juarez",Current Asset,Material Expenses,Expense
2023-03-12,cash,ABCZ Materials,0.0,23354.93,245912,Hernandez PLC,Current Asset,Material Expenses,Expense
2023-01-31,Accumulated Depreciation,NaN,0.0,102308.46,248112,NaN,Fixed Asset,Depreciation Expense,Expense
2022-08-05,Raw Materials COGS,Earth Supplies,876.0,0.0,248391,NaN,COGS,Accounts Payable,Current Liability
2022-09-05,Raw Materials COGS,Earth Supplies,912.0,0.0,248401,NaN,COGS,Accounts Payable,Current Liability
2022-10-05,Raw Materials COGS,Earth Supplies,948.0,0.0,248411,NaN,COGS,Accounts Payable,Current Liability
2022-11-05,Raw Materials COGS,Earth Supplies,984.0,0.0,248421,NaN,COGS,Accounts Payable,Current Liability
2022-12-05,Raw Materials COGS,Earth Supplies,1020.0,0.0,248431,NaN,COGS,Accounts Payable,Current Liability
2023-01-05,Raw Materials COGS,Earth Supplies,1056.0,0.0,248441,NaN,COGS,Accounts Payable,Current Liability
2023-02-05,Raw Materials COGS,Earth Supplies,1092.0,0.0,248451,NaN,COGS,Accounts Payable,Current Liability
2021-12-05,Raw Materials COGS,Earth Supplies,588.0,0.0,248311,NaN,COGS,Accounts Payable,Current Liability
2022-01-05,Raw Materials COGS,Earth Supplies,624.0,0.0,248321,NaN,COGS,Accounts Payable,Current Liability
2022-02-05,Raw Materials COGS,Earth Supplies,660.0,0.0,248331,NaN,COGS,Accounts Payable,Current Liability
2022-03-05,Raw Materials COGS,Earth Supplies,696.0,0.0,248341,NaN,COGS,Accounts Payable,Current Liability
2022-04-05,Raw Materials COGS,Earth Supplies,732.0,0.0,248351,NaN,COGS,Accounts Payable,Current Liability
2022-05-05,Raw Materials COGS,Earth Supplies,768.0,0.0,248361,NaN,COGS,Accounts Payable,Current Liability
2022-06-05,Raw Materials COGS,Earth Supplies,804.0,0.0,248371,NaN,COGS,Accounts Payable,Current Liability
2022-07-05,Raw Materials COGS,Earth Supplies,840.0,0.0,248381,NaN,COGS,Accounts Payable,Current Liability
2021-04-05,Purchases of Items,Earth Supplies,2992.0,0.0,248941,NaN,COGS,Accounts Payable,Current Liability
2021-05-05,Purchases of Items,Earth Supplies,3350.0,0.0,248951,NaN,COGS,Accounts Payable,Current Liability
2021-06-05,Purchases of Items,Earth Supplies,3708.0,0.0,248961,NaN,COGS,Accounts Payable,Current Liability
2021-07-05,Purchases of Items,Earth Supplies,4066.0,0.0,248971,NaN,COGS,Accounts Payable,Current Liability
2021-08-05,Purchases of Items,Earth Supplies,4424.0,0.0,248981,NaN,COGS,Accounts Payable,Current Liability
2021-09-05,Purchases of Items,Earth Supplies,4782.0,0.0,248991,NaN,COGS,Accounts Payable,Current Liability
2021-10-05,Purchases of Items,Earth Supplies,5140.0,0.0,249001,NaN,COGS,Accounts Payable,Current Liability
2021-11-05,Purchases of Items,Earth Supplies,5498.0,0.0,249011,NaN,COGS,Accounts Payable,Current Liability
2021-12-05,Purchases of Items,Earth Supplies,5856.0,0.0,249021,NaN,COGS,Accounts Payable,Current Liability
2022-01-05,Purchases of Items,Earth Supplies,6214.0,0.0,249031,NaN,COGS,Accounts Payable,Current Liability
2022-02-05,Purchases of Items,Earth Supplies,6572.0,0.0,249041,NaN,COGS,Accounts Payable,Current Liability
2022-03-05,Purchases of Items,Earth Supplies,6930.0,0.0,249051,NaN,COGS,Accounts Payable,Current Liability
2022-04-05,Purchases of Items,Earth Supplies,7288.0,0.0,249061,NaN,COGS,Accounts Payable,Current Liability
2022-05-05,Purchases of Items,Earth Supplies,7646.0,0.0,249071,NaN,COGS,Accounts Payable,Current Liability
2022-06-05,Purchases of Items,Earth Supplies,8004.0,0.0,249081,NaN,COGS,Accounts Payable,Current Liability
2022-07-05,Purchases of Items,Earth Supplies,8362.0,0.0,249091,NaN,COGS,Accounts Payable,Current Liability
2022-08-05,Purchases of Items,Earth Supplies,8720.0,0.0,249101,NaN,COGS,Accounts Payable,Current Liability
2022-09-05,Purchases of Items,Earth Supplies,9078.0,0.0,249111,NaN,COGS,Accounts Payable,Current Liability
2022-10-05,Purchases of Items,Earth Supplies,9436.0,0.0,249121,NaN,COGS,Accounts Payable,Current Liability
2022-11-05,Purchases of Items,Earth Supplies,9794.0,0.0,249131,NaN,COGS,Accounts Payable,Current Liability
2022-12-05,Purchases of Items,Earth Supplies,10152.0,0.0,249141,NaN,COGS,Accounts Payable,Current Liability
2023-01-05,Purchases of Items,Earth Supplies,10510.0,0.0,249151,NaN,COGS,Accounts Payable,Current Liability
2023-02-05,Purchases of Items,Earth Supplies,10868.0,0.0,249161,NaN,COGS,Accounts Payable,Current Liability
2023-03-05,Purchases of Items,Earth Supplies,11226.0,0.0,249171,NaN,COGS,Accounts Payable,Current Liability
2023-04-05,Purchases of Items,Earth Supplies,11584.0,0.0,249181,NaN,COGS,Accounts Payable,Current Liability
2023-05-05,Purchases of Items,Earth Supplies,11942.0,0.0,249191,NaN,COGS,Accounts Payable,Current Liability
2023-06-05,Purchases of Items,Earth Supplies,12300.0,0.0,249201,NaN,COGS,Accounts Payable,Current Liability
2023-07-05,Purchases of Items,Earth Supplies,12658.0,0.0,249211,NaN,COGS,Accounts Payable,Current Liability
2021-01-15,Accounts Payable,City Capital,940.0,0.0,249241,NaN,Current Liability,cash,Current Asset
2021-02-15,Accounts Payable,City Capital,1130.0,0.0,249251,NaN,Current Liability,cash,Current Asset
2021-03-15,Accounts Payable,City Capital,1320.0,0.0,249261,NaN,Current Liability,cash,Current Asset
2021-04-15,Accounts Payable,City Capital,1510.0,0.0,249271,NaN,Current Liability,cash,Current Asset
2021-05-15,Accounts Payable,City Capital,1700.0,0.0,249281,NaN,Current Liability,cash,Current Asset
2021-06-15,Accounts Payable,City Capital,1890.0,0.0,249291,NaN,Current Liability,cash,Current Asset
2021-07-15,Accounts Payable,City Capital,2080.0,0.0,249301,NaN,Current Liability,cash,Current Asset
2021-08-15,Accounts Payable,City Capital,2270.0,0.0,249311,NaN,Current Liability,cash,Current Asset
2021-09-15,Accounts Payable,City Capital,2460.0,0.0,249321,NaN,Current Liability,cash,Current Asset
2021-10-15,Accounts Payable,City Capital,2650.0,0.0,249331,NaN,Current Liability,cash,Current Asset
2021-11-15,Accounts Payable,City Capital,2840.0,0.0,249341,NaN,Current Liability,cash,Current Asset
2021-12-15,Accounts Payable,City Capital,3030.0,0.0,249351,NaN,Current Liability,cash,Current Asset
2022-01-15,Accounts Payable,City Capital,3220.0,0.0,249361,NaN,Current Liability,cash,Current Asset
2022-02-15,Accounts Payable,City Capital,3410.0,0.0,249371,NaN,Current Liability,cash,Current Asset
2022-03-15,Accounts Payable,City Capital,3600.0,0.0,249381,NaN,Current Liability,cash,Current Asset
2022-04-15,Accounts Payable,City Capital,3790.0,0.0,249391,NaN,Current Liability,cash,Current Asset
2022-05-15,Accounts Payable,City Capital,3980.0,0.0,249401,NaN,Current Liability,cash,Current Asset
2022-06-15,Accounts Payable,City Capital,4170.0,0.0,249411,NaN,Current Liability,cash,Current Asset
2022-07-15,Accounts Payable,City Capital,4360.0,0.0,249421,NaN,Current Liability,cash,Current Asset
2022-08-15,Accounts Payable,City Capital,4550.0,0.0,249431,NaN,Current Liability,cash,Current Asset
2022-09-15,Accounts Payable,City Capital,4740.0,0.0,249441,NaN,Current Liability,cash,Current Asset
2022-10-15,Accounts Payable,City Capital,4930.0,0.0,249451,NaN,Current Liability,cash,Current Asset
2022-11-15,Accounts Payable,City Capital,5120.0,0.0,249461,NaN,Current Liability,cash,Current Asset
2022-12-15,Accounts Payable,City Capital,5310.0,0.0,249471,NaN,Current Liability,cash,Current Asset
2023-01-15,Accounts Payable,City Capital,5500.0,0.0,249481,NaN,Current Liability,cash,Current Asset
2023-02-15,Accounts Payable,City Capital,5690.0,0.0,249491,NaN,Current Liability,cash,Current Asset
2023-03-15,Accounts Payable,City Capital,5880.0,0.0,249501,NaN,Current Liability,cash,Current Asset
2023-04-15,Accounts Payable,City Capital,6070.0,0.0,249511,NaN,Current Liability,cash,Current Asset
2023-05-15,Accounts Payable,City Capital,6260.0,0.0,249521,NaN,Current Liability,cash,Current Asset
2023-06-15,Accounts Payable,City Capital,6450.0,0.0,249531,NaN,Current Liability,cash,Current Asset
2023-07-15,Accounts Payable,City Capital,6640.0,0.0,249541,NaN,Current Liability,cash,Current Asset
2021-12-15,Interest Expense,City Capital,520.0,0.0,249551,NaN,Expense,cash,Current Asset
2022-04-15,Interest Expense,City Capital,640.0,0.0,249561,NaN,Expense,cash,Current Asset
2022-08-15,Interest Expense,City Capital,760.0,0.0,249571,NaN,Expense,cash,Current Asset
2022-12-15,Interest Expense,City Capital,880.0,0.0,249581,NaN,Expense,cash,Current Asset
2023-04-15,Interest Expense,City Capital,1000.0,0.0,249591,NaN,Expense,cash,Current Asset
2021-01-05,Accounts Payable,Earth Supplies,0.0,1918.0,248912,NaN,Current Liability,Purchases of Items,COGS
2021-02-05,Accounts Payable,Earth Supplies,0.0,2276.0,248922,NaN,Current Liability,Purchases of Items,COGS
2021-03-05,Accounts Payable,Earth Supplies,0.0,2634.0,248932,NaN,Current Liability,Purchases of Items,COGS
2021-04-05,Accounts Payable,Earth Supplies,0.0,2992.0,248942,NaN,Current Liability,Purchases of Items,COGS
2021-05-05,Accounts Payable,Earth Supplies,0.0,3350.0,248952,NaN,Current Liability,Purchases of Items,COGS
2021-06-05,Accounts Payable,Earth Supplies,0.0,3708.0,248962,NaN,Current Liability,Purchases of Items,COGS
2021-07-05,Accounts Payable,Earth Supplies,0.0,4066.0,248972,NaN,Current Liability,Purchases of Items,COGS
2021-08-05,Accounts Payable,Earth Supplies,0.0,4424.0,248982,NaN,Current Liability,Purchases of Items,COGS
2021-09-05,Accounts Payable,Earth Supplies,0.0,4782.0,248992,NaN,Current Liability,Purchases of Items,COGS
2021-10-05,Accounts Payable,Earth Supplies,0.0,5140.0,249002,NaN,Current Liability,Purchases of Items,COGS
2021-11-05,Accounts Payable,Earth Supplies,0.0,5498.0,249012,NaN,Current Liability,Purchases of Items,COGS
2021-12-05,Accounts Payable,Earth Supplies,0.0,5856.0,249022,NaN,Current Liability,Purchases of Items,COGS
2022-01-05,Accounts Payable,Earth Supplies,0.0,6214.0,249032,NaN,Current Liability,Purchases of Items,COGS
2022-02-05,Accounts Payable,Earth Supplies,0.0,6572.0,249042,NaN,Current Liability,Purchases of Items,COGS
2022-03-05,Accounts Payable,Earth Supplies,0.0,6930.0,249052,NaN,Current Liability,Purchases of Items,COGS
2022-04-05,Accounts Payable,Earth Supplies,0.0,7288.0,249062,NaN,Current Liability,Purchases of Items,COGS
2022-05-05,Accounts Payable,Earth Supplies,0.0,7646.0,249072,NaN,Current Liability,Purchases of Items,COGS
2022-06-05,Accounts Payable,Earth Supplies,0.0,8004.0,249082,NaN,Current Liability,Purchases of Items,COGS
2022-07-05,Accounts Payable,Earth Supplies,0.0,8362.0,249092,NaN,Current Liability,Purchases of Items,COGS
2022-08-05,Accounts Payable,Earth Supplies,0.0,8720.0,249102,NaN,Current Liability,Purchases of Items,COGS
2022-09-05,Accounts Payable,Earth Supplies,0.0,9078.0,249112,NaN,Current Liability,Purchases of Items,COGS
2022-10-05,Accounts Payable,Earth Supplies,0.0,9436.0,249122,NaN,Current Liability,Purchases of Items,COGS
2022-11-05,Accounts Payable,Earth Supplies,0.0,9794.0,249132,NaN,Current Liability,Purchases of Items,COGS
2022-12-05,Accounts Payable,Earth Supplies,0.0,10152.0,249142,NaN,Current Liability,Purchases of Items,COGS
2023-01-05,Accounts Payable,Earth Supplies,0.0,10510.0,249152,NaN,Current Liability,Purchases of Items,COGS
2023-02-05,Accounts Payable,Earth Supplies,0.0,10868.0,249162,NaN,Current Liability,Purchases of Items,COGS
2023-03-05,Accounts Payable,Earth Supplies,0.0,11226.0,249172,NaN,Current Liability,Purchases of Items,COGS
2023-04-05,Accounts Payable,Earth Supplies,0.0,11584.0,249182,NaN,Current Liability,Purchases of Items,COGS
2023-05-05,Accounts Payable,Earth Supplies,0.0,11942.0,249192,NaN,Current Liability,Purchases of Items,COGS
2023-06-05,Accounts Payable,Earth Supplies,0.0,12300.0,249202,NaN,Current Liability,Purchases of Items,COGS
2023-07-05,Accounts Payable,Earth Supplies,0.0,12658.0,249212,NaN,Current Liability,Purchases of Items,COGS
2021-01-15,cash,City Capital,0.0,940.0,249242,NaN,Current Asset,Accounts Payable,Current Liability
2021-02-15,cash,City Capital,0.0,1130.0,249252,NaN,Current Asset,Accounts Payable,Current Liability
2021-03-15,cash,City Capital,0.0,1320.0,249262,NaN,Current Asset,Accounts Payable,Current Liability
2021-04-15,cash,City Capital,0.0,1510.0,249272,NaN,Current Asset,Accounts Payable,Current Liability
2021-05-15,cash,City Capital,0.0,1700.0,249282,NaN,Current Asset,Accounts Payable,Current Liability
2021-06-15,cash,City Capital,0.0,1890.0,249292,NaN,Current Asset,Accounts Payable,Current Liability
2021-07-15,cash,City Capital,0.0,2080.0,249302,NaN,Current Asset,Accounts Payable,Current Liability
2021-08-15,cash,City Capital,0.0,2270.0,249312,NaN,Current Asset,Accounts Payable,Current Liability
2021-09-15,cash,City Capital,0.0,2460.0,249322,NaN,Current Asset,Accounts Payable,Current Liability
2021-07-15,Property Plant and Equipment,City Capital,0.0,56.0,248592,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2021-08-15,Property Plant and Equipment,City Capital,0.0,56.0,248602,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2021-09-15,Property Plant and Equipment,City Capital,0.0,56.0,248612,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2021-10-15,Property Plant and Equipment,City Capital,0.0,56.0,248622,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2021-11-15,Property Plant and Equipment,City Capital,0.0,56.0,248632,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2021-12-15,Property Plant and Equipment,City Capital,0.0,56.0,248642,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2022-01-15,Property Plant and Equipment,City Capital,0.0,56.0,248652,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2022-02-15,Property Plant and Equipment,City Capital,0.0,56.0,248662,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2022-03-15,Property Plant and Equipment,City Capital,0.0,56.0,248672,NaN,Fixed Asset,"Accretion Expense
",Other Expense
2022-04-15,Property Plant and Equipment,City Capital,0.0,56.0,248682,NaN,Fixed Asset,"Accretion Expense
",Other Expense
